Carrier,ArrDelay,Month,DayofMonth,Ratio,Total Delay
AA,16,1,1,0.4074,702
AA,47,1,2,0.4001,697
AA,19,1,3,0.2925,511
AA,23,1,4,0.2983,522
AA,22,1,5,0.3598,552
AA,43,1,6,0.3827,651
AA,35,1,7,0.3349,579
AA,36,1,8,0.3368,576
AA,16,1,9,0.1775,304
AA,100,1,10,0.1969,341
AA,16,1,11,0.2242,389
AA,84,1,12,0.1158,172
AA,21,1,13,0.2171,365
AA,36,1,14,0.2247,388
AA,16,1,15,0.1125,192
AA,37,1,16,0.1409,241
AA,114,1,17,0.4047,701
AA,48,1,18,0.3485,605
AA,16,1,19,0.2327,346
AA,111,1,20,0.1679,282
AA,102,1,21,0.3946,681
AA,33,1,22,0.4596,785
AA,45,1,23,0.3250,556
AA,86,1,24,0.2634,456
AA,111,1,25,0.3456,600
AA,20,1,26,0.2552,379
AA,32,1,27,0.3550,595
AA,16,1,28,0.3320,573
AA,16,1,29,0.4375,746
AA,37,1,30,0.2700,463
AA,116,1,31,0.5188,897
AA,46,2,1,0.4645,805
AA,79,2,2,0.2780,412
AA,34,2,3,0.3298,553
AA,35,2,4,0.3853,665
AA,43,2,5,0.4227,722
AA,45,2,6,0.2946,505
AA,17,2,7,0.2387,413
AA,44,2,8,0.3997,693
AA,111,2,9,0.2256,335
AA,38,2,10,0.3015,506
AA,67,2,11,0.3177,549
AA,177,2,12,0.4578,782
AA,142,2,13,0.3618,619
AA,25,2,14,0.3175,549
AA,26,2,15,0.4044,700
AA,19,2,16,0.4177,596
AA,21,2,17,0.3556,564
AA,39,2,18,0.4208,709
AA,32,2,19,0.2719,465
AA,56,2,20,0.1741,298
AA,55,2,21,0.3881,671
AA,38,2,22,0.3733,645
AA,37,2,23,0.2879,427
AA,17,2,24,0.2825,474
AA,85,2,25,0.3281,566
AA,46,2,26,0.3680,627
AA,25,2,27,0.2258,387
AA,97,2,28,0.2058,356
AA,23,2,29,0.3445,597
AA,58,3,1,0.1980,294
AA,18,3,2,0.2919,489
AA,16,3,3,0.5220,900
AA,25,3,4,0.2797,478
AA,18,3,5,0.2382,408
AA,68,3,6,0.2233,385
AA,25,3,7,0.5258,907
AA,32,3,8,0.4178,630
AA,115,3,9,0.3740,628
AA,27,3,10,0.2307,397
AA,36,3,11,0.1511,258
AA,90,3,12,0.1756,301
AA,25,3,13,0.2235,386
AA,49,3,14,0.3113,538
AA,73,3,15,0.3070,463
AA,26,3,16,0.2607,438
AA,26,3,17,0.3550,611
AA,63,3,18,0.3070,524
AA,16,3,19,0.5020,860
AA,31,3,20,0.3588,620
AA,50,3,21,0.3791,655
AA,97,3,22,0.3265,492
AA,39,3,23,0.2845,478
AA,18,3,24,0.2019,348
AA,42,3,25,0.3331,570
AA,44,3,26,0.2113,362
AA,52,3,27,0.3409,589
AA,43,3,28,0.3561,615
AA,37,3,29,0.2288,345
AA,22,3,30,0.4782,802
AA,32,3,31,0.5125,882
AA,24,4,1,0.3347,572
AA,53,4,2,0.2491,426
AA,15,4,3,0.3413,589
AA,80,4,4,0.4864,839
AA,77,4,5,0.2397,361
AA,69,4,6,0.3263,542
AA,26,4,7,0.3225,556
AA,51,4,8,0.2676,467
AA,33,4,9,0.2013,351
AA,29,4,10,0.2676,467
AA,46,4,11,0.2947,516
AA,23,4,12,0.2541,415
AA,29,4,13,0.2341,400
AA,55,4,14,0.1787,312
AA,188,4,15,0.1564,273
AA,56,4,16,0.2532,442
AA,17,4,17,0.2334,407
AA,23,4,18,0.2450,429
AA,21,4,19,0.1513,247
AA,221,4,20,0.2608,446
AA,22,4,21,0.2304,402
AA,35,4,22,0.2291,400
AA,26,4,23,0.2819,492
AA,79,4,24,0.2852,498
AA,30,4,25,0.4617,808
AA,117,4,26,0.3092,505
AA,232,4,27,0.2188,374
